"","ts_value_id","ts_id","datetime","req_timestamp","ts_value","station_latitude","station_longitude","stationparameter_name","station_name","station_no","dataprovider","dataowner","significant","Portal_Bekken","Actuele.status"
"1",0,"01292393042"," 4 januari 2024 06:45",NA,0,50.765692201797,4.27977512945101,"H","Lot/Zenne","01L08_193","VMM","VMM","1","Dijlebekken","Normaal"
"2",2,"0487811010"," 4 januari 2024 07:15",NA,0,50.9162798032153,3.66773481614073,"H","Asper Opwaarts DVW/Bovenschelde","04OW098-OPW-1073","MOW-HIC","DVW-ARW","0","Boven-Scheldebekken","Normaal"
"3",3,"01226431042"," 4 januari 2024 07:02",NA,0,51.1745607387551,4.63418455963542,"H","Ranst/Bollaak","01KL10_311","VMM","provincie Antwerpen","","Netebekken","Normaal"
"4",4,"01122523042"," 4 januari 2024 07:02",NA,0,51.1217127060771,5.10282351274885,"H","Meerhout/Kleinbroekbeek","01L10_083","VMM","VMM","0","Netebekken","Normaal"
"5",6,"0193136042"," 4 januari 2024 07:02",NA,0,50.8760324771153,4.17616028773367,"H","Ternat/Steenvoordebeek","01L07_287","VMM","VMM","0","Denderbekken","Normaal"
"6",8,"0193708042"," 4 januari 2024 07:02",NA,0,50.9134227854483,2.74071549104612,"H","Oostvleteren/Poperingevaart","01L01_491","VMM","VMM","1","Ijzerbekken","Normaal"
"7",9,"0193628042"," 4 januari 2024 07:02",NA,0,51.1416465700902,3.13468805136656,"H","Zedelgem/Plaatsebeek","01L02_42L","VMM","VMM","1","Bekken Brugse polders","Normaal"
"8",10,"0488243010"," 4 januari 2024 07:15",NA,0,50.7902656588507,4.29329236320312,"H","Ruisbroek Sluis Afwaarts DVW/Kl Brussel-Charleroi","04KC-RUI-AFW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"9",12,"04123831010"," 4 januari 2024 07:15",NA,0,50.748972535752,3.41179002295988,"H","Bossuit Opwaarts DVW/Bovenschelde","04WW003-OPW-1073","MOW-HIC","DVW-ARW","0","Boven-Scheldebekken","Normaal"
"10",13,"0193572042"," 4 januari 2024 07:02",NA,0,50.9400373616177,3.16555947384201,"H","Roeselare/Mandel","01L05_402","VMM","VMM","0","Leiebekken","Normaal"
"11",14,"01122340042"," 4 januari 2024 07:02",NA,0,51.1341443309449,3.94715374521772,"H","Eksaarde/Mariabeek","01S03_307","VMM","Polder Moervaart en Zuidlede","0","Bekken Gentse kanalen","Normaal"
"12",16,"0488163010"," 4 januari 2024 07:15",NA,0,50.7789008494217,3.38026943352333,"H","Moen Opwaarts DVW/Kl Bossuit-Kortrijk","04WW002-OPW-1073","MOW-HIC","DVW-ARW","0","Boven-Scheldebekken","Normaal"
"13",17,"0488175010"," 4 januari 2024 07:00",NA,0,51.1370660635166,2.75883312340085,"H","Nieuwpoort/Kl Nieuwpoort-Plassendale","04kpn02a-1066","MOW-HIC","HIC","0","Ijzerbekken","Normaal"
"14",18,"0193044042"," 4 januari 2024 07:02",NA,0,50.9772734119121,5.05486467569224,"H","Diest/Begijnebeek","01L09_14D","VMM","VMM","0","Demerbekken","Normaal"
"15",20,"0488083010"," 4 januari 2024 07:15",NA,0,50.7094150053157,4.22258537373802,"H","Lembeek Sluis Afwaarts DVW/Kl Brussel-Charleroi","04KC-LEM-AFW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"16",21,"04103939010"," 4 januari 2024 07:10",NA,0,51.0507340214021,5.769876510396,"H","Rotem rkm 44.9/Maas","04maa02w-1066","MOW-HIC","HIC","0","Maasbekken","Normaal"
"17",23,"0193732042"," 4 januari 2024 07:02",NA,0,50.8479898394048,2.72066792890536,"H","Poperinge/Vleterbeek","01L01_49C","VMM","VMM","0","Ijzerbekken","Normaal"
"18",26,"0487823010"," 4 januari 2024 07:15",NA,0,51.0382387228388,4.44665766739391,"H","Battel Sluis Opwaarts DVW/Kl Leuven-Dijle","04LD-BAT-OPW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"19",27,"01276279042"," 4 januari 2024 07:00",NA,0,50.8260145913424,3.61160845853722,"H","Etikhove/Molenbeek","01L06_347","VMM","VMM","1","Boven-Scheldebekken","Normaal"
"20",28,"04116974010"," 4 januari 2024 07:00",NA,0,50.785460798534,3.10738816895926,"H","Menen Ropswalle/Leie","04lei11m-1066","MOW-HIC","HIC","1","Leiebekken","Normaal"
"21",29,"0487995010"," 4 januari 2024 07:00",NA,0,50.8502180339115,3.3001197904026,"H","Harelbeke 650m Opwaarts/Leie","04lei08f-1066","MOW-HIC","HIC","0","Leiebekken","Normaal"
"22",31,"0193204042"," 4 januari 2024 07:02",NA,0,51.2253221702821,4.54484236828921,"H","Wijnegem/Afvoergracht","01L04_00A","VMM","VMM","0","Beneden-Scheldebekken","Normaal"
"23",34,"0193320042"," 4 januari 2024 07:02",NA,0,51.0777766781747,4.98634592264793,"H","Veerle/Grote Laak","01L10_085","VMM","VMM","0","Netebekken","Normaal"
"24",35,"0488357010"," 4 januari 2024 06:50",NA,0,51.4426831750776,3.59731953996577,"W","Vlissingen tij/Westerschelde","04VLIS-1060","MOW-HIC","RWS","0","Beneden-Scheldebekken","Normaal"
"25",37,"0487983010"," 4 januari 2024 07:00",NA,0,50.7377444522776,4.2420029010962,"H","Halle Opwaarts/Kl Brussel-Charleroi","04kbc05e-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"26",41,"0488219010"," 4 januari 2024 07:00",NA,0,50.8296965118308,4.00959912439749,"H","Pollare Opwaarts/Dender","04den09e-1066","MOW-HIC","HIC","0","Denderbekken","Normaal"
"27",42,"01122407042"," 4 januari 2024 07:02",NA,0,50.8109767826334,3.08623009064218,"H","Geluwe/Geluwebeek","01L05_408","VMM","VMM","0","Leiebekken","Normaal"
"28",43,"0488071010"," 4 januari 2024 07:00",NA,0,50.8015911859518,3.1894996472416,"H","Lauwe/Leie","04lei10a-1066","MOW-HIC","HIC","0","Leiebekken","Normaal"
"29",48,"0193124042"," 4 januari 2024 07:02",NA,0,50.8728273680151,4.056547787685,"H","Iddergem/Molenbeek","01L07_284","VMM","VMM","0","Denderbekken","Normaal"
"30",49,"0494244010"," 4 januari 2024 07:14",NA,0,51.2679979571621,4.29852383884503,"W","Kallosluis tij/Zeeschelde","04zes14a-1066","MOW-HIC","HIC","0","Beneden-Scheldebekken","Normaal"
"31",50,"0487799010"," 4 januari 2024 07:15",NA,0,51.2056071326865,3.51547481570183,"H","Adegem-Balgerhoeke Opwaarts DVW/Afleidingskl Leie","04OW005-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Brugse polders","Normaal"
"32",51,"0488335010"," 4 januari 2024 07:00",NA,0,51.1011257965587,3.56546697228752,"H","Zomergem/Afleidingskl Leie","04akl04a-1066","MOW-HIC","HIC","0","Bekken Gentse kanalen","Normaal"
"33",53,"0484028010"," 4 januari 2024 07:14",NA,0,51.2274681467334,4.39991370684367,"W","Antwerpen tij/Zeeschelde","04zes21a-1066","MOW-HIC","HIC","1","Beneden-Scheldebekken","Normaal"
"34",54,"01122488042"," 4 januari 2024 07:02",NA,0,50.8853656204651,5.35251130260529,"H","Wimmertingen/Mombeek","01L09_167","VMM","VMM","0","Demerbekken","Normaal"
"35",55,"01149665042"," 4 januari 2024 07:02",NA,0,50.9325412313526,4.22809352656834,"H","Asse/Grote Molenbeek/Dorp opw duiker","01S04_03C","VMM","Provincie Vlaams-Brabant","","Beneden-Scheldebekken","Normaal"
"36",57,"0494255010"," 4 januari 2024 07:14",NA,0,51.1079366990736,4.06710512195968,"W","Waasmunster Manta tij/Durme","04dur05a-1066","MOW-HIC","HIC","0","Beneden-Scheldebekken","Normaal"
